"magnitude","deph","region","datetime","latitude","longitude"
"2.2","9.70","Southern California","Tuesday, May 11, 2010 00:22:32 UTC","32.6411","-115.8590"
"1.6","5.60","Southern California","Tuesday, May 11, 2010 00:15:40 UTC","32.8220","-115.9538"
"1.8","0.00","Southern California","Monday, May 10, 2010 22:52:02 UTC","35.0450","-117.6688"
"1.7","2.90","Southern California","Monday, May 10, 2010 22:45:46 UTC","32.6785","-115.8243"
"1.8","4.70","Southern California","Monday, May 10, 2010 22:22:34 UTC","32.6522","-115.8162"
"2.4","6.10","Southern California","Monday, May 10, 2010 22:17:58 UTC","32.6440","-115.9365"
"1.7","3.20","Southern California","Monday, May 10, 2010 21:45:37 UTC","32.7211","-115.8815"
"1.1","17.70","Southern California","Monday, May 10, 2010 21:33:58 UTC","33.7277","-116.8283"
"1.8","9.30","Southern California","Monday, May 10, 2010 20:50:02 UTC","32.6638","-115.8740"
"1.9","4.60","Southern California","Monday, May 10, 2010 20:15:49 UTC","34.5148","-116.5138"
"1.4","5.80","Southern California","Monday, May 10, 2010 19:49:43 UTC","32.6572","-115.7968"
"1.5","7.10","Southern California","Monday, May 10, 2010 19:13:16 UTC","32.7120","-115.8868"
"1.7","5.50","Southern California","Monday, May 10, 2010 19:01:05 UTC","34.6090","-116.6310"
"1.0","10.00","Southern California","Monday, May 10, 2010 18:54:34 UTC","32.9318","-116.3500"
"1.2","10.10","Southern California","Monday, May 10, 2010 18:40:10 UTC","32.9925","-116.3458"
"1.3","16.70","Southern California","Monday, May 10, 2010 18:34:53 UTC","33.3490","-116.9465"
"1.8","2.20","Southern California","Monday, May 10, 2010 18:02:09 UTC","32.6478","-115.8301"
"1.9","6.50","Southern California","Monday, May 10, 2010 17:45:29 UTC","32.6451","-115.8951"
"1.4","5.90","Southern California","Monday, May 10, 2010 17:40:26 UTC","32.7903","-116.1128"
"1.9","5.00","Southern California","Monday, May 10, 2010 17:34:30 UTC","32.7371","-115.8210"
"1.3","6.60","Southern California","Monday, May 10, 2010 17:26:34 UTC","32.6737","-115.7935"
"1.7","1.50","Southern California","Monday, May 10, 2010 17:08:58 UTC","32.7291","-115.8570"
"1.7","2.30","Southern California","Monday, May 10, 2010 15:59:03 UTC","32.6503","-115.7648"
"1.1","2.10","Southern California","Monday, May 10, 2010 15:24:52 UTC","32.6753","-115.8160"
"2.3","0.00","Southern California","Monday, May 10, 2010 15:20:55 UTC","32.6898","-115.8073"
"1.4","5.00","Southern California","Monday, May 10, 2010 14:56:00 UTC","32.9128","-116.2442"
"1.6","3.70","Southern California","Monday, May 10, 2010 14:44:33 UTC","32.7176","-115.8890"
"1.5","7.00","Southern California","Monday, May 10, 2010 14:38:06 UTC","32.6675","-115.8196"
"1.6","2.00","Southern California","Monday, May 10, 2010 13:20:37 UTC","32.6843","-115.8575"
"1.0","4.50","Southern California","Monday, May 10, 2010 13:03:34 UTC","33.2673","-116.3617"
"1.7","7.00","Southern California","Monday, May 10, 2010 12:16:12 UTC","32.6695","-115.8736"
"1.5","5.50","Southern California","Monday, May 10, 2010 12:15:28 UTC","32.6903","-115.8753"
"1.2","7.70","Southern California","Monday, May 10, 2010 12:02:12 UTC","32.6942","-115.8840"
"1.2","5.60","Southern California","Monday, May 10, 2010 11:07:19 UTC","32.7275","-115.9493"
"1.2","10.10","Southern California","Monday, May 10, 2010 10:38:06 UTC","35.0408","-118.0888"
"1.9","1.40","Southern California","Monday, May 10, 2010 09:08:23 UTC","32.7070","-115.8856"
"2.9","5.00","Southern California","Monday, May 10, 2010 08:57:46 UTC","32.6834","-115.8901"
"2.1","3.50","Southern California","Monday, May 10, 2010 08:31:59 UTC","32.6610","-115.8163"
"2.3","2.00","Southern California","Monday, May 10, 2010 08:24:49 UTC","32.7175","-115.8418"
"1.5","6.70","Southern California","Monday, May 10, 2010 08:23:16 UTC","32.7176","-115.9066"
"1.8","11.00","Southern California","Monday, May 10, 2010 08:11:25 UTC","32.6764","-115.8551"
"1.6","0.30","Southern California","Monday, May 10, 2010 08:06:46 UTC","32.7245","-115.8766"
"2.0","5.60","Southern California","Monday, May 10, 2010 08:00:53 UTC","32.6836","-115.8033"
"1.6","3.30","Southern California","Monday, May 10, 2010 07:41:11 UTC","32.6980","-115.9260"
"2.0","6.80","Southern California","Monday, May 10, 2010 07:38:02 UTC","32.7651","-116.1330"
"2.2","7.60","Southern California","Monday, May 10, 2010 07:37:37 UTC","32.6791","-115.8701"
"1.8","4.20","Southern California","Monday, May 10, 2010 07:24:41 UTC","32.7058","-115.8871"
"2.2","4.60","Southern California","Monday, May 10, 2010 07:02:28 UTC","33.2648","-116.3783"
"1.7","3.00","Southern California","Monday, May 10, 2010 06:15:30 UTC","32.6826","-115.7926"
"2.2","5.70","Southern California","Monday, May 10, 2010 06:08:47 UTC","32.6961","-115.8900"
"1.1","4.00","Southern California","Monday, May 10, 2010 05:29:49 UTC","33.2643","-116.3610"
"1.9","10.00","Southern California","Monday, May 10, 2010 05:03:17 UTC","32.6940","-116.0350"
"1.4","19.30","Southern California","Monday, May 10, 2010 04:49:29 UTC","33.9850","-116.8215"
"1.9","10.20","Southern California","Monday, May 10, 2010 04:01:17 UTC","32.6761","-115.7593"
"1.2","11.00","Southern California","Monday, May 10, 2010 03:41:30 UTC","33.4315","-116.5782"
"2.1","5.70","Southern California","Monday, May 10, 2010 03:11:28 UTC","32.6803","-115.8031"
"2.0","5.80","Southern California","Monday, May 10, 2010 02:40:08 UTC","32.6698","-115.8068"
"1.3","4.00","Southern California","Monday, May 10, 2010 02:10:38 UTC","33.2658","-116.3700"
"1.9","4.50","Southern California","Monday, May 10, 2010 02:05:29 UTC","33.2637","-116.3708"
"2.2","23.30","Southern California","Monday, May 10, 2010 01:40:21 UTC","32.8606","-116.2706"
"1.5","16.80","Southern California","Monday, May 10, 2010 01:23:10 UTC","33.5047","-116.8280"
"2.9","4.70","Southern California","Monday, May 10, 2010 01:10:02 UTC","32.6618","-115.8045"
"1.0","10.90","Southern California","Monday, May 10, 2010 00:00:51 UTC","33.4395","-116.5740"
"2.3","2.80","Southern California","Sunday, May  9, 2010 23:13:12 UTC","32.7221","-115.8313"
"1.5","3.90","Southern California","Sunday, May  9, 2010 22:37:28 UTC","32.8255","-115.9613"
"2.1","5.70","Southern California","Sunday, May  9, 2010 20:57:57 UTC","32.6615","-115.8081"
"2.0","6.60","Southern California","Sunday, May  9, 2010 19:44:19 UTC","32.6443","-115.8073"
"1.6","7.00","Southern California","Sunday, May  9, 2010 19:11:51 UTC","32.6763","-116.0271"
"1.2","5.10","Southern California","Sunday, May  9, 2010 18:27:02 UTC","33.7462","-116.1545"
"2.8","5.70","Southern California","Sunday, May  9, 2010 18:01:13 UTC","32.6900","-116.0420"
"1.7","0.00","Southern California","Sunday, May  9, 2010 17:37:15 UTC","32.7200","-115.9972"
"1.3","7.10","Southern California","Sunday, May  9, 2010 17:14:42 UTC","32.6861","-115.8578"
"1.5","8.40","Southern California","Sunday, May  9, 2010 17:07:06 UTC","32.6638","-115.7833"
"1.1","11.20","Southern California","Sunday, May  9, 2010 17:06:30 UTC","33.4522","-116.4077"
"1.1","5.60","Southern California","Sunday, May  9, 2010 16:45:59 UTC","33.4022","-116.3588"
"1.7","3.10","Southern California","Sunday, May  9, 2010 16:14:52 UTC","32.6831","-116.0508"
"1.6","4.00","Southern California","Sunday, May  9, 2010 15:57:26 UTC","32.7016","-115.8821"
"1.9","2.00","Southern California","Sunday, May  9, 2010 15:49:03 UTC","32.6631","-115.8308"
"1.7","3.40","Southern California","Sunday, May  9, 2010 15:21:27 UTC","32.7010","-115.8650"
